house_type,area_sqft,num_bedrooms,age_years,distance_to_city_km,crime_rate_index,price_usd
Bungalow,2008.9,5.0,19.8,0.65,6.48,271600.0
Bungalow,1793.0,3.0,24.4,,9.08,112600.0
Villa,1615.5,5.0,11.0,0.5,4.61,315300.0
Townhouse,838.0,,28.7,,4.47,77400.0
Apartment,1116.0,5.0,23.8,4.64,1.03,161800.0
Apartment,1450.9,1.0,,10.38,6.52,145800.0
Townhouse,1537.3,4.0,1.0,4.4,1.27,250900.0
Apartment,1047.9,5.0,30.0,11.2,5.54,95200.0
Townhouse,2464.7,2.0,8.6,13.07,8.24,238600.0
Apartment,2106.6,1.0,33.4,11.73,5.95,199100.0
Townhouse,1740.8,3.0,16.8,1.21,3.43,240200.0
Apartment,1528.8,,23.1,10.7,8.08,171700.0
Townhouse,,3.0,34.9,3.28,3.43,151000.0
Villa,1119.2,3.0,,0.5,7.6,196500.0
Townhouse,1531.0,2.0,14.9,5.36,6.49,153900.0
Apartment,,1.0,8.4,5.68,,171600.0
Villa,1003.3,4.0,31.0,6.3,9.15,223500.0
Townhouse,1633.7,1.0,17.3,12.2,2.81,140800.0
Villa,1437.9,3.0,7.7,3.69,9.91,222500.0
Bungalow,736.9,5.0,,3.79,,147500.0
Bungalow,,2.0,7.9,0.62,3.37,190000.0
Villa,1334.6,3.0,1.0,11.61,2.8,209700.0
Bungalow,2255.1,1.0,0.8,8.39,1.13,304600.0
Villa,1722.6,3.0,24.9,4.3,7.59,272600.0
Townhouse,,2.0,26.5,12.21,7.24,52400.0
Apartment,1694.4,4.0,12.4,7.71,8.13,159500.0
Apartment,881.1,2.0,12.8,6.33,3.31,101200.0
Townhouse,1933.1,3.0,13.6,7.16,5.0,225300.0
Townhouse,1311.6,3.0,27.2,10.12,6.93,134100.0
Villa,1462.5,2.0,2.3,10.79,4.96,214100.0
Bungalow,2030.3,,37.2,3.41,7.28,259300.0
Apartment,985.1,2.0,8.9,1.52,6.71,92600.0
Apartment,941.2,3.0,40.0,1.7,2.03,112700.0
Villa,1266.6,2.0,6.9,10.2,8.03,182400.0
Apartment,1915.4,3.0,30.9,20.63,7.49,126900.0
Villa,,2.0,8.9,5.27,6.9,223800.0
Apartment,400.0,3.0,3.2,1.86,2.4,50000.0
Townhouse,1319.5,2.0,35.0,14.13,3.41,118400.0
Townhouse,1720.7,4.0,34.4,17.87,4.54,142100.0
Bungalow,1980.1,2.0,16.1,21.25,3.52,161800.0
Villa,1314.7,,,9.34,,245500.0
Apartment,1335.4,4.0,22.3,19.71,8.25,110500.0
Bungalow,1961.6,2.0,34.1,0.5,6.74,265100.0
Bungalow,752.1,3.0,12.6,1.13,6.09,129200.0
Apartment,1344.6,1.0,20.9,0.97,3.03,137900.0
Townhouse,1576.2,3.0,19.4,12.47,9.26,131000.0
Bungalow,1679.7,4.0,14.2,0.72,2.72,291400.0
Townhouse,1296.1,3.0,35.7,6.86,8.15,148100.0
Bungalow,1513.8,3.0,6.6,6.4,9.7,160400.0
Bungalow,504.7,2.0,6.0,3.72,7.54,67000.0
Villa,1236.7,3.0,23.1,20.43,9.94,163700.0
Townhouse,1681.4,2.0,26.3,1.87,6.86,178700.0
Townhouse,1107.1,4.0,7.8,4.35,2.96,179500.0
Apartment,1523.6,3.0,15.6,,2.83,170700.0
Apartment,1678.7,4.0,37.9,0.5,3.92,211500.0
Apartment,1363.0,2.0,9.9,11.18,1.06,135200.0
Bungalow,1568.2,2.0,26.7,16.95,7.14,175400.0
Townhouse,1114.9,2.0,29.6,26.92,,73200.0
Apartment,1417.4,1.0,17.9,20.9,8.34,71500.0
Villa,1744.1,,37.5,3.85,4.23,239500.0
Apartment,1562.8,4.0,29.5,8.83,5.32,181900.0
Townhouse,1265.4,4.0,18.3,0.8,9.69,175500.0
Bungalow,1589.7,3.0,22.8,,3.18,167600.0
Bungalow,1785.8,3.0,27.7,0.99,7.49,237600.0
Villa,680.0,1.0,23.7,3.79,7.8,113800.0
Villa,,4.0,35.1,20.81,2.99,279300.0
Apartment,1365.5,1.0,14.3,4.26,5.51,108700.0
Apartment,1670.2,5.0,12.0,,4.15,215100.0
Townhouse,1978.9,3.0,8.6,5.68,7.95,257200.0
Bungalow,951.3,2.0,1.5,6.14,6.6,109700.0
Townhouse,1216.2,5.0,1.7,34.92,5.28,113500.0
Townhouse,1384.6,1.0,34.8,3.51,8.01,105100.0
Villa,1186.5,3.0,27.1,9.87,3.12,226900.0
Bungalow,2194.0,3.0,26.4,5.45,7.78,267600.0
Townhouse,1157.3,2.0,24.6,0.63,8.79,126600.0
Bungalow,1277.8,3.0,34.0,6.72,8.91,145700.0
Apartment,1581.8,3.0,19.2,16.78,8.05,145500.0
Villa,1019.1,4.0,34.8,1.04,4.67,171700.0
Apartment,1341.7,1.0,14.4,0.72,9.84,88900.0
Townhouse,1627.0,5.0,37.1,1.67,,237300.0
Bungalow,1366.9,2.0,27.9,14.46,6.75,88800.0
Apartment,1462.6,2.0,10.3,12.87,2.45,131300.0
Bungalow,1288.3,2.0,22.6,8.32,9.82,128000.0
Bungalow,894.2,1.0,21.3,6.32,7.34,66800.0
Apartment,1628.6,2.0,5.5,21.92,7.78,102000.0
Apartment,2202.0,5.0,23.6,14.55,,272900.0
Bungalow,1507.4,,,16.71,7.87,163200.0
Villa,1590.1,2.0,2.1,16.78,7.97,198400.0
Bungalow,1777.1,2.0,37.9,10.29,7.05,173700.0
Villa,992.3,4.0,25.7,6.13,3.63,198700.0
Townhouse,2181.0,4.0,35.1,20.0,5.41,174100.0
Villa,1580.9,2.0,27.0,26.04,1.99,203000.0
Villa,2152.7,1.0,14.3,0.5,5.24,342400.0
Townhouse,1206.8,2.0,20.5,0.53,3.19,170500.0
Villa,2227.2,1.0,27.0,,4.14,219100.0
Apartment,1810.1,2.0,38.4,3.25,2.46,173400.0
Apartment,1721.2,3.0,10.1,20.66,3.07,162700.0
Bungalow,1593.6,2.0,35.0,4.92,1.69,218800.0
Bungalow,1400.6,3.0,37.0,1.27,9.28,176700.0
Bungalow,1980.2,2.0,26.8,0.84,,254400.0
Apartment,1556.1,5.0,37.3,1.7,4.57,232500.0
Apartment,713.2,5.0,15.9,2.88,5.82,95900.0
Apartment,1053.1,3.0,38.1,6.7,6.65,91200.0
Apartment,1425.7,3.0,28.1,12.09,9.3,151300.0
Villa,1624.0,3.0,1.7,,2.61,175700.0
Apartment,1477.4,3.0,36.3,5.83,3.66,136700.0
Villa,1987.6,4.0,19.4,7.3,9.78,294400.0
Townhouse,719.6,3.0,18.4,7.38,4.34,63900.0
Apartment,1557.4,4.0,22.7,7.75,1.2,204600.0
Villa,772.8,5.0,6.0,7.29,2.33,195600.0
Bungalow,,2.0,18.8,0.5,1.24,256000.0
Apartment,1462.2,3.0,33.2,0.5,9.91,138000.0
Bungalow,1667.8,1.0,0.6,1.03,3.51,175200.0
Townhouse,1154.4,2.0,10.9,,9.31,128800.0
Townhouse,,3.0,0.1,12.2,9.96,212900.0
Apartment,1916.7,2.0,16.6,2.29,6.4,219600.0
Townhouse,1733.4,4.0,29.1,22.51,1.3,167300.0
Villa,1448.2,2.0,32.0,26.4,,166100.0
Apartment,1731.9,3.0,37.8,37.25,5.33,98900.0
Villa,1217.2,3.0,24.3,27.98,,186700.0
Townhouse,,3.0,,3.17,6.46,225800.0
Villa,2159.8,3.0,37.0,7.13,4.95,333000.0
Apartment,1928.2,4.0,31.0,1.93,9.41,216000.0
Bungalow,1208.2,3.0,23.0,16.41,5.81,95100.0
Apartment,1644.6,3.0,27.8,21.93,7.24,143100.0
Apartment,982.7,1.0,37.0,19.06,9.07,50000.0
Apartment,,3.0,28.5,5.68,2.32,216100.0
Apartment,1680.2,4.0,14.7,14.22,3.07,185700.0
Apartment,752.1,3.0,28.5,1.03,1.97,112000.0
Apartment,1035.3,4.0,1.6,0.5,2.26,180800.0
Bungalow,1386.7,3.0,15.5,13.99,5.61,191600.0
Apartment,1379.7,2.0,16.3,5.54,3.89,165000.0
Apartment,1016.2,1.0,6.7,,4.81,50000.0
Townhouse,1655.6,2.0,0.9,1.02,9.84,159600.0
Villa,1600.6,3.0,5.3,19.35,2.41,249800.0
Bungalow,1422.3,4.0,26.2,6.54,,199600.0
Apartment,1197.7,2.0,32.1,17.55,1.89,101600.0
Apartment,1919.5,3.0,39.5,16.99,3.87,206200.0
Apartment,2162.2,,,24.77,5.75,188300.0
Apartment,1306.6,3.0,24.0,3.54,9.52,173100.0
Apartment,1255.1,2.0,37.5,29.92,4.52,50000.0
Apartment,,2.0,6.7,1.64,1.58,217400.0
Apartment,1356.8,2.0,28.7,0.86,4.49,132000.0
Apartment,1444.2,,30.2,5.65,2.31,98900.0
Villa,1795.9,2.0,,17.62,3.07,254500.0
Apartment,736.3,1.0,34.4,,,50000.0
Apartment,2027.3,3.0,32.5,17.68,1.61,199300.0
Villa,1529.1,2.0,1.3,13.08,5.18,233600.0
Bungalow,1335.4,5.0,,2.35,,242800.0
Apartment,1464.3,2.0,,29.74,4.8,56100.0
Bungalow,1485.0,2.0,,0.63,1.17,233100.0
Bungalow,807.5,3.0,20.4,22.86,9.87,50000.0
Apartment,2098.0,1.0,21.3,3.63,4.3,238600.0
Townhouse,1516.5,4.0,10.7,6.93,8.01,175200.0
Townhouse,1677.2,1.0,36.5,5.49,3.93,139200.0
Apartment,1880.6,5.0,14.7,1.89,5.28,232200.0
Apartment,1091.5,,1.8,4.43,4.5,123000.0
Bungalow,1689.4,,12.0,2.14,4.08,248500.0
Bungalow,1392.9,3.0,21.2,2.28,1.2,239400.0
Apartment,1838.7,3.0,,2.07,4.24,213000.0
Apartment,649.1,3.0,11.0,6.71,9.01,63800.0
Apartment,1460.4,3.0,5.3,15.99,7.21,100300.0
Villa,1258.9,1.0,32.8,8.42,2.31,198800.0
Bungalow,1672.9,1.0,39.8,22.37,6.32,136800.0
Apartment,1688.0,3.0,13.2,10.12,9.03,135500.0
Villa,1216.9,3.0,15.3,11.69,7.3,195000.0
Bungalow,,4.0,24.7,,2.34,185400.0
Apartment,1455.7,2.0,28.7,5.97,8.81,68500.0
Apartment,1141.3,4.0,15.7,11.69,3.71,155900.0
Bungalow,,2.0,36.2,,5.09,236900.0
Townhouse,1352.3,3.0,22.4,19.65,5.74,128500.0
Villa,400.0,2.0,18.0,15.04,8.65,61000.0
Villa,1350.1,3.0,25.9,2.81,9.38,193700.0
Apartment,1084.6,2.0,38.1,14.61,9.37,60500.0
Villa,847.5,3.0,31.8,0.5,1.07,203400.0
Villa,1005.0,4.0,,2.45,,215900.0
Apartment,1543.8,3.0,13.3,0.67,1.49,227400.0
Apartment,2031.5,3.0,18.8,15.15,3.39,225600.0
Apartment,1625.3,4.0,12.6,14.1,5.63,212300.0
Apartment,1257.4,4.0,28.0,16.8,5.32,118300.0
Apartment,1682.4,3.0,33.1,0.5,6.44,179300.0
Apartment,1316.4,2.0,29.3,6.96,5.32,117400.0
Apartment,1222.2,4.0,39.6,12.2,9.41,110900.0
Apartment,1038.3,3.0,10.9,1.69,3.16,156800.0
Townhouse,799.3,2.0,,10.49,3.47,50000.0
Villa,1344.0,2.0,30.7,0.88,9.29,216300.0
Bungalow,1563.2,4.0,14.5,2.0,1.69,279800.0
Bungalow,1461.4,1.0,29.4,6.46,6.49,145500.0
Villa,1333.6,5.0,4.2,10.6,7.14,271200.0
Apartment,1121.7,2.0,31.6,1.58,5.55,121700.0
Villa,1743.3,4.0,21.3,,7.25,322500.0
Villa,973.1,3.0,11.7,2.29,2.55,202700.0
Bungalow,1810.4,,26.2,,8.67,210200.0
Villa,1099.1,4.0,25.7,,2.26,242700.0
Apartment,1199.0,3.0,8.4,5.03,4.61,110500.0
Apartment,913.3,3.0,1.2,10.61,,100100.0
Apartment,1299.4,1.0,17.3,5.76,5.91,116400.0
Bungalow,1890.1,1.0,22.8,14.96,7.03,213100.0
Villa,1706.3,2.0,35.1,12.7,9.47,229300.0
Apartment,1891.4,3.0,37.1,1.35,7.65,221300.0
Townhouse,1708.9,2.0,21.2,0.5,5.87,222800.0
Bungalow,1058.5,2.0,30.2,21.03,9.39,50000.0
Apartment,1367.7,3.0,17.6,0.83,5.31,163300.0
Apartment,1187.9,3.0,29.8,1.61,6.05,182100.0
Apartment,2032.2,4.0,8.2,0.5,6.36,261200.0
Apartment,,2.0,14.8,9.9,4.69,109000.0
Apartment,1857.5,1.0,25.4,8.73,8.55,174100.0
Apartment,1857.2,5.0,,43.35,2.67,117200.0
Apartment,2231.8,2.0,28.9,21.8,5.99,190200.0
Apartment,1336.1,4.0,33.4,5.29,7.5,150700.0
Townhouse,1784.9,4.0,16.0,4.65,9.14,222300.0
Apartment,2412.7,4.0,17.9,3.52,8.96,269100.0
Villa,1252.9,2.0,34.1,1.65,5.58,193700.0
Villa,886.0,4.0,31.0,1.49,6.79,189700.0
Townhouse,748.0,4.0,11.5,1.42,4.55,119600.0
Apartment,1785.1,3.0,13.0,1.21,5.21,241900.0
Apartment,746.7,2.0,27.2,2.75,9.16,87500.0
Townhouse,1351.1,2.0,22.5,3.66,,160300.0
Townhouse,1674.9,2.0,6.5,32.59,9.06,110900.0
Bungalow,1574.1,3.0,12.4,8.64,2.25,192700.0
Apartment,1670.2,3.0,36.0,43.9,8.65,50000.0
Apartment,1588.9,3.0,27.5,,9.54,164000.0
Bungalow,,3.0,39.4,6.12,4.25,238700.0
Townhouse,1119.1,3.0,30.7,3.92,5.67,141000.0
Villa,1229.2,3.0,37.7,2.02,8.01,230000.0
Villa,,5.0,8.6,1.55,6.06,275400.0
Apartment,1832.1,2.0,30.9,29.02,9.94,118100.0
Bungalow,1860.2,,0.8,43.28,5.1,119500.0
Apartment,1680.5,2.0,,0.5,7.43,195700.0
Apartment,1973.4,3.0,18.8,1.63,8.13,211100.0
Villa,1028.8,4.0,13.9,5.51,5.45,199400.0
Villa,2166.9,5.0,34.5,2.06,8.71,367400.0
Apartment,2109.3,2.0,34.2,,5.92,243100.0
Apartment,1794.2,5.0,0.9,1.38,4.7,266700.0
Bungalow,2212.7,,24.4,6.1,1.97,262600.0
Apartment,837.4,3.0,,3.17,4.54,106700.0
Villa,1290.2,1.0,16.6,4.34,7.61,200800.0
Apartment,1205.9,4.0,33.3,0.99,9.29,115400.0
Villa,1788.6,3.0,12.4,5.59,3.27,278700.0
Villa,,,37.7,40.9,4.2,94700.0
Apartment,1803.0,4.0,7.2,3.99,2.39,242800.0
Apartment,2048.2,2.0,26.5,20.91,7.22,161200.0
Apartment,,1.0,26.9,18.53,9.64,124300.0
Apartment,,4.0,10.1,30.38,,116000.0
Townhouse,1104.9,2.0,13.0,15.61,6.55,94300.0
Apartment,1161.3,2.0,33.4,10.78,5.98,83500.0
Bungalow,1999.8,3.0,30.5,,1.8,260700.0
Apartment,1811.7,3.0,13.2,0.79,7.57,214800.0
Bungalow,1484.4,1.0,,6.21,6.42,204900.0
Bungalow,1332.8,2.0,2.5,45.33,6.95,51900.0
Villa,689.7,1.0,8.3,14.68,9.09,88900.0
Villa,1071.7,3.0,19.4,32.72,8.06,95500.0
Villa,2264.6,4.0,,15.12,8.03,303700.0
Apartment,987.8,5.0,33.7,20.78,9.34,50000.0
Townhouse,1575.8,3.0,28.7,12.26,9.91,125700.0
Bungalow,1903.0,2.0,37.7,14.29,6.23,199600.0
Townhouse,998.0,5.0,27.7,7.41,1.98,140200.0
Apartment,1573.9,3.0,37.6,25.8,5.13,110900.0
Bungalow,1875.2,2.0,22.2,17.43,,204900.0
Townhouse,1505.0,,24.0,18.57,1.25,181100.0
Apartment,2647.4,4.0,39.1,11.18,1.51,350100.0
Apartment,832.6,4.0,25.7,3.63,1.6,96300.0
Bungalow,1923.5,4.0,1.2,0.5,7.58,275400.0
Villa,1430.9,2.0,29.0,27.43,5.51,152100.0
Bungalow,1808.8,2.0,36.2,8.82,4.32,223900.0
Apartment,1676.5,3.0,31.8,3.54,1.95,157100.0
Bungalow,1206.7,2.0,23.4,1.62,,119000.0
Apartment,1591.6,3.0,26.9,17.69,3.89,141800.0
Apartment,756.8,4.0,39.6,18.11,3.39,84200.0
Apartment,,4.0,3.6,,6.87,183600.0
Bungalow,1619.3,3.0,26.7,10.36,6.03,163700.0
Bungalow,1755.5,4.0,11.3,4.56,4.26,230300.0
Villa,1923.2,4.0,25.6,3.63,6.77,353500.0
Apartment,1647.0,3.0,24.3,0.5,3.44,192800.0
Townhouse,,2.0,6.1,17.93,8.15,108800.0
Apartment,1147.6,2.0,8.3,0.91,,168100.0
Bungalow,1215.1,2.0,24.9,9.96,2.43,164000.0
Villa,1974.7,2.0,5.1,7.01,8.04,316700.0
Apartment,2074.5,2.0,10.6,7.48,7.37,192700.0
Villa,1404.8,2.0,33.4,26.13,2.64,142400.0
Apartment,1518.4,3.0,13.1,0.5,2.05,203600.0
Bungalow,1138.2,5.0,19.5,14.85,8.55,149800.0
Villa,,2.0,37.6,0.53,7.99,301200.0
Apartment,1766.2,4.0,9.1,0.5,3.95,269700.0
Townhouse,2276.5,3.0,15.6,5.62,6.92,231200.0
Apartment,1148.7,1.0,24.3,0.65,2.12,137500.0
Villa,1348.8,5.0,30.2,15.57,5.56,210900.0
Townhouse,1592.6,3.0,,7.54,1.17,207900.0
Bungalow,1758.6,3.0,36.6,0.5,4.52,228700.0
Apartment,1413.7,4.0,31.1,0.5,1.67,179600.0
Townhouse,1150.8,2.0,9.1,9.48,5.28,101800.0
Bungalow,1852.6,3.0,1.0,16.4,,189500.0
Apartment,1788.5,1.0,15.4,5.76,5.0,175400.0
Apartment,1133.5,4.0,5.7,8.09,1.41,137800.0
Bungalow,,3.0,28.4,16.09,4.25,246300.0
Bungalow,1968.1,3.0,26.4,9.43,7.81,241200.0
Villa,1553.7,2.0,1.8,2.55,4.32,304400.0
Townhouse,1531.8,3.0,33.5,9.49,7.44,161200.0
Bungalow,1721.6,4.0,9.9,9.9,4.33,245000.0
Apartment,1155.3,3.0,17.3,13.25,4.81,134000.0
Apartment,1512.0,3.0,26.7,9.7,6.08,137100.0
Apartment,639.0,3.0,17.2,34.82,9.56,50000.0
Bungalow,1850.6,4.0,17.7,2.2,1.98,282700.0
Apartment,875.4,,2.6,30.18,1.3,50000.0
Villa,2101.4,4.0,16.1,7.73,,384100.0
Bungalow,1368.0,4.0,30.6,11.15,9.54,186400.0
Townhouse,1415.3,3.0,36.6,1.05,9.91,197000.0
Apartment,1248.9,2.0,16.5,4.79,5.36,127100.0
Bungalow,1384.8,3.0,16.9,14.67,5.21,168900.0
Apartment,2067.4,4.0,28.1,12.27,,210800.0
Bungalow,504.9,2.0,37.7,0.5,6.0,83900.0
Apartment,2010.8,3.0,10.7,,6.71,196100.0
Apartment,1635.2,4.0,,0.92,8.87,148300.0
Bungalow,1017.2,3.0,31.8,50.0,7.72,50000.0
Apartment,1069.9,3.0,24.4,22.76,5.47,50000.0
Apartment,2170.6,2.0,4.4,0.5,,285700.0
Bungalow,1121.8,2.0,25.1,19.57,6.76,122600.0
Bungalow,1038.7,4.0,7.5,25.19,5.1,76900.0
Bungalow,1954.9,1.0,20.4,4.36,5.12,251700.0
Bungalow,,2.0,21.2,12.71,1.15,211900.0
Villa,1124.8,,,5.84,2.57,198300.0
Apartment,1586.6,2.0,18.5,10.65,5.4,139800.0
Apartment,1089.7,5.0,11.2,4.16,8.4,132500.0
Apartment,1940.3,5.0,9.2,3.89,3.51,282500.0
Townhouse,1924.5,2.0,35.0,5.52,5.7,179500.0
Villa,1712.8,1.0,6.8,1.57,4.1,274000.0
Villa,1644.7,4.0,17.0,17.79,1.94,254000.0
Villa,2204.5,3.0,7.5,4.29,9.62,343900.0
Townhouse,1499.9,2.0,30.9,5.11,8.69,140100.0
Apartment,1027.3,4.0,19.0,22.45,1.71,78900.0
Villa,1679.8,1.0,14.0,6.86,7.48,234800.0
Villa,2334.4,4.0,14.4,7.86,4.13,413500.0
Bungalow,1094.1,2.0,34.1,31.35,9.95,50000.0
Apartment,1355.4,,22.2,21.78,3.72,70500.0
Townhouse,1666.6,,,1.86,3.15,209100.0
Townhouse,1478.4,5.0,35.9,6.41,6.11,187900.0
Villa,1107.1,3.0,36.1,35.51,8.52,70900.0
Bungalow,1948.7,4.0,13.1,4.66,2.73,327000.0
Townhouse,2428.0,3.0,38.1,4.65,7.38,266800.0
Bungalow,1578.5,2.0,1.0,2.17,1.55,218700.0
Apartment,1138.4,2.0,15.1,,9.27,111500.0
Villa,,3.0,35.8,,1.73,200000.0
Bungalow,1603.2,,11.0,,,137300.0
Villa,1941.6,3.0,10.9,34.74,5.42,232200.0
Bungalow,1690.1,2.0,12.1,14.85,5.03,223800.0
Townhouse,,5.0,24.5,2.79,9.76,197800.0
Townhouse,1264.3,2.0,17.5,0.5,9.91,107100.0
Villa,1063.1,5.0,29.1,42.29,6.85,101400.0
Apartment,1833.9,1.0,35.8,4.16,2.14,190300.0
Townhouse,1865.5,3.0,27.0,3.74,5.56,248500.0
Bungalow,881.7,2.0,8.2,23.64,5.76,51000.0
Apartment,2135.9,3.0,37.3,8.8,5.63,240300.0
Townhouse,1729.6,3.0,10.6,2.42,6.13,186800.0
Townhouse,2059.8,3.0,6.0,21.99,1.17,189700.0
Villa,963.1,3.0,3.6,50.0,7.4,50000.0
Villa,953.7,4.0,22.5,0.91,7.41,239600.0
Apartment,1440.4,3.0,4.6,19.82,2.04,139300.0
Apartment,1701.1,4.0,5.6,4.95,6.13,217800.0
Apartment,2218.5,2.0,12.0,7.42,,239000.0
Bungalow,1782.4,3.0,11.3,24.63,7.14,193000.0
Apartment,1402.9,3.0,24.2,36.26,1.77,63200.0
Apartment,1089.5,3.0,32.7,3.04,,127500.0
Apartment,1992.0,3.0,30.5,2.39,3.53,220900.0
Villa,1114.1,2.0,10.5,,5.56,253300.0
Townhouse,2151.4,2.0,9.8,8.25,7.96,210700.0
Apartment,1386.2,2.0,38.6,0.5,7.35,118500.0
Apartment,,2.0,0.3,5.31,2.07,263000.0
Bungalow,1771.6,3.0,35.2,0.76,6.32,234000.0
Villa,,3.0,8.0,5.2,9.72,246500.0
Apartment,1292.2,5.0,37.9,0.5,2.41,194500.0
Villa,1363.6,4.0,,18.03,8.68,186200.0
Apartment,,1.0,17.6,2.35,7.32,192700.0
Apartment,1530.9,4.0,28.3,3.98,7.97,193600.0
Villa,1262.5,,23.5,20.41,3.54,231500.0
Villa,1433.7,3.0,12.7,13.71,3.59,224600.0
Townhouse,1531.4,3.0,22.2,2.47,9.15,182000.0
Apartment,648.5,5.0,29.2,0.75,,113000.0
Villa,1683.3,3.0,1.7,12.58,1.57,304700.0
Bungalow,1108.1,5.0,0.4,4.95,6.41,210500.0
Apartment,1038.7,1.0,18.3,14.53,2.12,72300.0
Bungalow,825.1,2.0,5.3,5.89,8.17,65700.0
Apartment,782.4,3.0,26.6,4.25,6.78,111300.0
Townhouse,957.8,3.0,8.6,6.0,8.87,113300.0
Apartment,1216.4,4.0,17.3,13.81,8.06,101500.0
Villa,2281.3,5.0,7.9,23.25,2.01,355100.0
Apartment,1289.6,3.0,21.9,0.51,4.43,129300.0
Townhouse,1571.1,1.0,4.6,7.43,7.97,168200.0
Villa,1660.2,4.0,0.9,0.5,4.76,288800.0
Villa,1552.4,3.0,2.0,6.32,9.75,247900.0
Apartment,,2.0,38.2,21.65,7.62,86600.0
Bungalow,1021.9,3.0,5.7,4.49,1.14,187500.0
Apartment,2080.4,4.0,28.3,26.95,8.92,171100.0
Townhouse,2222.9,4.0,2.7,9.96,1.91,300600.0
Apartment,826.9,3.0,4.3,27.2,2.26,50000.0
Apartment,1090.4,2.0,,14.15,7.61,67100.0
Apartment,1388.1,5.0,18.6,1.09,8.78,185600.0
Villa,,,38.1,2.63,,204700.0
Villa,1702.4,3.0,37.8,5.01,3.6,247200.0
Apartment,1208.7,2.0,31.2,1.86,4.16,111900.0
Bungalow,2366.0,4.0,24.1,6.83,4.09,319900.0
Villa,,2.0,18.2,6.37,3.94,298200.0
Villa,1585.0,,14.2,31.29,3.19,183400.0
Villa,1910.8,3.0,,5.69,6.48,285900.0
Villa,1942.4,2.0,24.1,15.4,9.1,231200.0
Villa,,3.0,23.2,28.46,3.76,156000.0
Apartment,1173.5,2.0,9.3,20.95,2.68,76500.0
Apartment,1531.3,3.0,1.9,2.34,8.55,176700.0
Townhouse,1844.7,2.0,37.8,6.85,7.68,189100.0
Townhouse,,,12.5,4.27,,141500.0
Apartment,,2.0,17.7,5.11,2.49,69600.0
Apartment,1178.9,5.0,4.6,4.48,2.3,153600.0
Bungalow,1470.4,4.0,,17.51,,215600.0
Villa,1469.7,2.0,1.1,6.02,6.53,219000.0
Apartment,2289.0,4.0,,7.42,5.32,254100.0
Apartment,945.6,3.0,5.6,40.43,6.39,50000.0
Bungalow,1702.2,5.0,35.5,0.62,2.62,276400.0
Bungalow,2095.6,3.0,29.2,6.69,5.32,270900.0
Apartment,2408.6,3.0,6.6,14.87,6.92,239600.0
Apartment,1338.2,1.0,22.6,1.64,4.89,134600.0
Apartment,1696.6,3.0,12.5,9.46,,176700.0
Bungalow,1727.9,5.0,7.1,2.74,5.06,264100.0
Apartment,1578.2,3.0,34.4,20.2,4.0,135500.0
Apartment,1460.5,2.0,16.1,,,181500.0
Bungalow,1674.4,2.0,15.9,3.99,4.7,211800.0
Apartment,487.1,4.0,6.8,9.12,1.21,72500.0
Bungalow,1772.8,3.0,,2.03,7.02,257300.0
Apartment,1550.5,3.0,,3.35,8.61,178300.0
Apartment,1411.0,5.0,14.5,5.39,4.19,225800.0
Apartment,2318.7,1.0,38.1,4.36,1.41,210300.0
Bungalow,1230.0,2.0,,7.44,9.88,134900.0
Townhouse,1338.8,5.0,5.8,9.15,3.37,203900.0
Bungalow,2296.6,2.0,7.1,8.36,,270700.0
Apartment,1167.2,2.0,34.5,10.62,4.33,98700.0
Bungalow,1280.0,3.0,15.7,3.68,7.65,190100.0
Apartment,1441.2,4.0,0.2,1.35,3.65,187600.0
Apartment,1836.3,2.0,11.0,14.3,,176100.0
Townhouse,1583.1,5.0,23.9,19.02,,194400.0
Apartment,982.9,4.0,32.0,2.97,2.06,113400.0
Apartment,,2.0,5.3,5.23,3.97,137400.0
Apartment,1257.1,4.0,4.4,6.9,7.52,153900.0
Apartment,1469.1,3.0,36.9,7.62,6.51,128000.0
Apartment,,3.0,30.0,10.77,2.08,162200.0
Villa,1667.3,4.0,23.6,0.5,2.47,314200.0
Villa,789.6,5.0,30.8,12.78,6.77,185000.0
Townhouse,1925.6,2.0,17.2,0.64,8.32,230100.0
Bungalow,1601.0,3.0,30.3,6.32,4.15,189200.0
Apartment,2053.8,3.0,14.9,17.58,6.36,208900.0
Apartment,1677.7,3.0,9.8,6.0,2.54,186500.0
Apartment,1940.5,3.0,29.2,1.61,3.8,201000.0
Villa,1686.6,1.0,16.8,42.02,1.18,150900.0
Apartment,2038.5,3.0,39.3,22.01,7.91,184800.0
Bungalow,1708.9,3.0,14.0,14.75,4.61,213500.0
Villa,1460.8,2.0,36.9,5.3,8.35,217500.0
Villa,2409.0,4.0,,,7.38,366500.0
Villa,1855.6,4.0,9.7,28.37,8.46,231100.0
Apartment,1729.5,3.0,31.9,7.6,,191700.0
Townhouse,989.5,2.0,17.3,19.13,2.67,50700.0
Bungalow,984.7,3.0,36.7,4.19,9.75,106300.0
Apartment,1617.1,2.0,18.0,4.08,7.46,158700.0
Townhouse,1558.2,2.0,29.8,42.36,8.51,50000.0
Villa,1254.4,4.0,18.7,7.38,1.12,237800.0
Townhouse,1556.4,1.0,9.1,1.52,4.19,184100.0
Bungalow,2135.5,1.0,8.0,2.48,7.69,249300.0
Villa,1778.2,1.0,17.0,6.58,1.7,267200.0
Apartment,1043.6,2.0,30.2,0.5,6.11,86000.0
